Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Bobby Abreu,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,9000000
Bobby Cassevah,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,414000
Bobby Jenks,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,6000000
Bobby Wilson,Los Angeles Angels,Catcher,No,American,American West,No,No,No,416000
Boone Logan,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,1200000
Brad Bergesen,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,434000
Brad Emaus,New York Mets,Second Baseman,No,National,National East,No,No,No,414000
Brad Hawpe,San Diego Padres,First Baseman,No,National,National West,No,No,No,2000000
Brad Lidge,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,12000000
Brad Lincoln,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,414500
Brad Penny,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,3000000
Brad Thomas,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,800000
Brad Ziegler,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,1250000
Brandon Beachy,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,416500
Brandon Belt,San Francisco Giants,First Baseman,No,National,National West,No,No,No,414000
Brandon Hicks,Atlanta Braves,Shortstop,No,National,National East,No,No,No,414000
Brandon Inge,Detroit Tigers,Third Baseman,No,American,American Central,No,Yes,No,5500000
Brandon Kintzler,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,414000
Brandon League,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,2250000
Brandon Lyon,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,5250000
Brandon McCarthy,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,1000000
Brandon Morrow,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,2300000
