Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Grady Sizemore,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,7666666
Grant Balfour,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,3750000
Greg Dobbs,Miami Marlins,First Baseman,No,National,National East,No,No,No,600000
Guillermo Mota,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,925000
Gustavo Molina,New York Yankees,Catcher,No,American,American East,Yes,Yes,No,455000
Hank Conger,Los Angeles Angels,Catcher,No,American,American West,No,No,No,414000
Hanley Ramirez,Miami Marlins,Shortstop,No,National,National East,No,No,No,11000000
Heath Bell,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,7500000
Hector Gimenez,Los Angeles Dodgers,Catcher,No,National,National West,No,No,No,425000
Henry Alberto Rodriguez,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,415000
Henry Barrera,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,414000
Henry Blanco,Arizona Diamondbacks,Catcher,No,National,National West,No,Yes,No,1000000
Hideki Matsui,Oakland Athletics,Designated Hitter,No,American,American West,No,No,No,4250000
Hiroki Kuroda,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,11765724
Hisanori Takahashi,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,3800000
Homer Bailey,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,441000
Hong-Chih Kuo,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,2725000
Howie Kendrick,Los Angeles Angels,Second Baseman,No,American,American West,No,No,No,3300000
Humberto Quintero,Houston Astros,Catcher,No,National,National Central,No,No,No,1000000
Hunter Pence,Houston Astros,Outfielder,No,National,National Central,No,No,No,6900000
Huston Street,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,7300000
Ian Desmond,Washington Nationals,Shortstop,No,National,National East,No,No,No,441500
Ian Kennedy,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,423000
Ian Kinsler,Texas Rangers,Second Baseman,No,American,American West,No,Yes,Yes,6200000
Ian Stewart,Colorado Rockies,Third Baseman,No,National,National West,No,No,No,2287500
Ichiro Suzuki,Seattle Mariners,Outfielder,No,American,American West,No,No,No,18000000
Ike Davis,New York Mets,First Baseman,No,National,National East,No,No,No,432000
Ivan DeJesus,Los Angeles Dodgers,Shortstop,No,National,National West,No,No,No,414000
Ivan Nova,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,432900
Ivan Rodriguez,Washington Nationals,Catcher,No,National,National East,No,No,No,3000000
J.A. Happ,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,474000
J.C. Romero,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,1350000
J.D. Drew,Boston Red Sox,Outfielder,No,American,American East,No,No,No,14000000
J.J. Hardy,Baltimore Orioles,Shortstop,No,American,American East,No,No,No,5850000
J.J. Putz,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,4000000
J.P. Arencibia,Toronto Blue Jays,Catcher,No,American,American East,No,No,No,417400
J.P. Howell,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,1100000
J.R. Towles,Houston Astros,Catcher,No,National,National Central,No,No,No,424000
Jack Cust,Seattle Mariners,Designated Hitter,No,American,American West,No,No,No,2500000
Jack Hannahan,Cleveland Indians,Third Baseman,No,American,American Central,No,No,No,500000
Jack Wilson,Seattle Mariners,Second Baseman,No,American,American West,No,No,No,5000000
Jacoby Ellsbury,Boston Red Sox,Outfielder,No,American,American East,No,No,No,2400000
Jaime Garcia,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,437000
Jair Jurrjens,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,3250000
Jake Arrieta,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,419000
Jake Fox,Baltimore Orioles,First Baseman,No,American,American East,No,No,No,424000
Jake McGee,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,415200
Jake Peavy,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,16000000
Jake Westbrook,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,8000000
James Loney,Los Angeles Dodgers,First Baseman,No,National,National West,No,No,No,4875000
James McDonald,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,443000
James Russell,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,427500
James Shields,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,4250000
Jamey Carroll,Los Angeles Dodgers,Infielder,No,National,National West,No,No,No,2285677
Jamey Wright,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,900000
Jared (Levi) Burton,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,750000
Jared Goedert,Cleveland Indians,Infielder,No,American,American Central,No,No,No,414000
Jarrett Hoffpauir,San Diego Padres,Second Baseman,No,National,National West,No,No,No,414800
Jarrod Dyson,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,414000
Jarrod Saltalamacchia,Boston Red Sox,Catcher,No,American,American East,No,No,No,750000
Jason Bartlett,San Diego Padres,Shortstop,No,National,National West,No,No,No,4000000
Jason Bay,New York Mets,Outfielder,No,National,National East,No,No,No,18125000
Jason Berken,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,426500
Jason Bourgeois,Houston Astros,Outfielder,No,National,National Central,No,No,No,423000
Jason Bulger,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,423000
Jason Castro,Houston Astros,Catcher,No,National,National Central,No,No,No,421500
Jason Donald,Cleveland Indians,Shortstop,No,American,American Central,No,No,No,423200
Jason Frasor,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,3500000
Jason Giambi,Colorado Rockies,First Baseman,No,National,National West,No,No,No,1000000
Jason Hammel,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,3000000
Jason Heyward,Atlanta Braves,Outfielder,No,National,National East,No,No,No,496500
Jason Jaramillo,Pittsburgh Pirates,Catcher,No,National,National Central,No,No,No,422500
Jason Kendall,Kansas City Royals,Catcher,No,American,American Central,No,No,No,3750000
Jason Kubel,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,5250000
Jason Marquis,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,7500000
Jason Michaels,Houston Astros,Outfielder,No,National,National Central,No,No,No,900000
Jason Motte,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,435000
Jason Repko,Minnesota Twins,Outfielder,No,American,American Central,No,No,No,600000
Jason Vargas,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,2450000
Jason Varitek,Boston Red Sox,Catcher,No,American,American East,No,No,No,2000000
Javier Lopez,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,2375000
Javier Vazquez,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,7000000
Jay Bruce,Cincinnati Reds,Outfielder,No,National,National Central,No,No,No,2791666
Jay Gibbons,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,650000
Jayson Nix,Toronto Blue Jays,Second Baseman,No,American,American East,No,No,No,438100
Jayson Werth,Washington Nationals,Outfielder,No,National,National East,No,No,No,10571428
Jed Lowrie,Boston Red Sox,Second Baseman,No,American,American East,No,No,No,450000
Jeff Baker,Chicago Cubs,Second Baseman,No,National,National Central,No,No,No,1175000
Jeff Francis,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,2000000
Jeff Francoeur,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,2500000
Jeff Fulchino,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,467000
Jeff Keppinger,Houston Astros,Second Baseman,No,National,National Central,No,No,No,2300000
Jeff Manship,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,419000
Jeff Mathis,Los Angeles Angels,Catcher,No,American,American West,No,No,No,1700000
Jeff Niemann,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,903000
Jeff Samardzija,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,3300000
Jeffrey Karstens,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,1100000
Jered Weaver,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,7365000
Jeremy Accardo,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,1080000
Jeremy Affeldt,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,4500000
Jeremy Guthrie,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,5750000
Jeremy Hellickson,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,418400
Jeremy Jeffress,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,414500
Jeremy Reed,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,550000
Jerry Blevins,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,420000
Jerry Hairston Jr.,Washington Nationals,Infielder,No,National,National East,No,No,No,2000000
Jesse Carlson,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,450000
Jesse Crain,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,4000000
Jesse Litsch,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,830000
Jhonny Peralta,Detroit Tigers,Shortstop,No,American,American Central,No,Yes,No,5250000
Jhoulys Chacin,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,419000
Jim Johnson,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,975000
Jim Thome,Minnesota Twins,Designated Hitter,No,American,American Central,No,No,No,3000000
Jimmy Rollins,Philadelphia Phillies,Shortstop,No,National,National East,No,Yes,No,8500000
Joakim Soria,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,4000000
Joaquin Benoit,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,5500000
Joba Chamberlain,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,1400000
Joe Blanton,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,10500000
Joe Mauer,Minnesota Twins,Catcher,No,American,American Central,No,No,No,23000000
Joe Nathan,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,11250000
Joe Paterson,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,414000
Joe Saunders,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,5500000
Joe Smith,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,870000
Joe Thatcher,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,433900
Joel Hanrahan,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,1400000
Joel Peralta,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,925000
Joel Pineiro,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,8000000
Joel Zumaya,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,1400000
Joey Votto,Cincinnati Reds,First Baseman,No,National,National Central,No,No,No,7410655
Johan Santana,New York Mets,Pitcher,Yes,National,National East,No,No,No,21644707
John Axford,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,442500
John Baker,Miami Marlins,Catcher,No,National,National East,No,No,No,417000
John Bowker,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,441500
John Buck,Miami Marlins,Catcher,No,National,National East,No,No,No,5000000
John Danks,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,6000000
John Grabow,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,4800000
John Jaso,Tampa Bay Rays,Catcher,No,American,American East,No,Yes,No,427200
John Lackey,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,15950000
John Lannan,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,2750000
John Mayberry,Philadelphia Phillies,Outfielder,No,National,National East,No,Yes,No,414000
John McDonald,Toronto Blue Jays,Shortstop,No,American,American East,No,No,No,1500000
Johnny Cueto,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,3400000
Johnny Damon,Tampa Bay Rays,Outfielder,No,American,American East,No,Yes,No,5250000
Jo-Jo Reyes,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,439100
Jon Garland,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,4442023
Jon Jay,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,416000
Jon Niese,New York Mets,Pitcher,Yes,National,National East,No,No,No,452000
Jon Rauch,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,3500000
Jonathan Broxton,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,7000000
Jonathan Herrera,Colorado Rockies,Second Baseman,No,National,National West,No,No,No,419000
Jonathan Lester,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,5750000
Jonathan Lucroy,Milwaukee Brewers,Catcher,No,National,National Central,No,Yes,No,424000
Jonathan Papelbon,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,12000000
Jonathan Sanchez,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,4800000
Jonny Gomes,Cincinnati Reds,Outfielder,No,National,National Central,No,No,No,1750000
Jonny Venters,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,429500
Jordan Smith,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,416500
Jordan Walden,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,414000
Jordan Zimmermann,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,415000
Jorge Cantu,San Diego Padres,First Baseman,No,National,National West,No,No,No,850000
Jorge De La Rosa,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,10000000
Jorge Posada,New York Yankees,Catcher,No,American,American East,Yes,Yes,No,13100000
Jose A. Bautista,Toronto Blue Jays,Outfielder,No,American,American East,No,No,No,8000000
Jose Arredondo,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,480000
Jose Ascanio,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,416000
Jose C. Lopez,Colorado Rockies,Third Baseman,No,National,National West,No,No,No,3600000
Jose Contreras,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,2500000
Jose Mijares,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,445000
Jose Molina,Toronto Blue Jays,Catcher,No,American,American East,No,No,No,1200000
Jose Morales,Colorado Rockies,Catcher,No,National,National West,No,No,No,420000
Jose Reyes,New York Mets,Shortstop,No,National,National East,No,No,No,11000000
Jose Tabata,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,428000
Jose Valverde,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,7000000
Josh Beckett,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,17000000
Josh Hamilton,Texas Rangers,Outfielder,No,American,American West,No,Yes,Yes,8750000
Josh Johnson,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,7750000
Josh Lueke,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Josh Rodriguez,Pittsburgh Pirates,Shortstop,No,National,National Central,No,No,No,414000
Josh Rupe,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,475000
Josh Thole,New York Mets,Catcher,No,National,National East,No,No,No,420000
Josh Tomlin,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,417200
Josh Willingham,Oakland Athletics,Outfielder,No,American,American West,No,No,No,6000000
Juan C. Gutierrez,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,430500
Juan Cruz,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,850000
Juan Francisco,Cincinnati Reds,Third Baseman,No,National,National Central,No,No,No,414000
Juan Miranda,Arizona Diamondbacks,First Baseman,No,National,National West,No,Yes,No,420000
Juan Pierre,Chicago White Sox,Outfielder,No,American,American Central,No,No,No,8500000
Juan Rivera,Toronto Blue Jays,Outfielder,No,American,American East,No,No,No,5250000
Juan Uribe,Los Angeles Dodgers,Second Baseman,No,National,National West,No,No,No,5295910
Julio Borbon,Texas Rangers,Outfielder,No,American,American West,No,Yes,Yes,490000
Junichi Tazawa,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,1500000
Justin Duchscherer,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,700000
Justin Germano,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,415600
Justin Masterson,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,468400
Justin Morneau,Minnesota Twins,First Baseman,No,American,American Central,No,No,No,15000000
Justin Smoak,Seattle Mariners,First Baseman,No,American,American West,No,No,No,419000
Justin Upton,Arizona Diamondbacks,Outfielder,No,National,National West,No,Yes,No,4458333
Justin Verlander,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,12850000
Kam Mickolio,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,417000
Kameron Loe,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,1250000
Kanekoa Texeira,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,426000
Kelly Johnson,Arizona Diamondbacks,Second Baseman,No,National,National West,No,Yes,No,5850000
Kelly Shoppach,Tampa Bay Rays,Catcher,No,American,American East,No,Yes,No,3000000
Kendrys Morales,Los Angeles Angels,First Baseman,No,American,American West,No,No,No,2975000
Kenley Jansen,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,416000
Kerry Wood,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,1500000
Kevin Correia,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,4000000
Kevin Gregg,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,4200000
Kevin Hart,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,417000
Kevin Jepsen,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,435000
Kevin Kouzmanoff,Oakland Athletics,Third Baseman,No,American,American West,No,No,No,4750000
Kevin Slowey,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,2700000
Kevin Youkilis,Boston Red Sox,Third Baseman,No,American,American East,No,No,No,12250000
Kila Ka`aihue,Kansas City Royals,First Baseman,No,American,American Central,No,No,No,419000
Koji Uehara,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,3000000
Kosuke Fukudome,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,14500000
Koyie Hill,Chicago Cubs,Catcher,No,National,National Central,No,No,No,850000
Kris Medlen,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,429500
Kurt Suzuki,Oakland Athletics,Catcher,No,American,American West,No,No,No,3437500
Kyle Blanks,San Diego Padres,Outfielder,No,National,National West,No,No,No,424700
Kyle Davies,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,3200000
Kyle Drabek,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,416000
Kyle Farnsworth,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,2600000
Kyle Kendrick,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,2450000
Kyle Lohse,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,12187500
Kyle McClellan,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,1375000
Lance Berkman,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,8000000
Lance Cormier,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,1200000
Landon Powell,Oakland Athletics,Catcher,No,American,American West,No,No,No,420000
Lastings Milledge,Chicago White Sox,Outfielder,No,American,American Central,No,No,No,500000
LaTroy Hawkins,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,4250000
Laynce Nix,Washington Nationals,Outfielder,No,National,National East,No,No,No,700000
Leo Nunez,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,3650000
Livan Hernandez,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,1250000
Logan Morrison,Miami Marlins,Outfielder,No,National,National East,No,No,No,414000
Logan Ondrusek,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,418000
Lou Marson,Cleveland Indians,Catcher,No,American,American Central,No,No,No,424300
Lucas Duda,New York Mets,Outfielder,No,National,National East,No,No,No,414000
Luis Ayala,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,650000
Luis O. Rodriguez,Seattle Mariners,Second Baseman,No,American,American West,No,No,No,600000
Luke Gregerson,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,447800
Luke Hochevar,Kansas City Royals,Pitcher,Yes,American,American Central,No,No,No,1760000
Luke Scott,Baltimore Orioles,Outfielder,No,American,American East,No,No,No,6400000
Lyle Overbay,Pittsburgh Pirates,First Baseman,No,National,National Central,No,No,No,5000000
Madison Bumgarner,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,450000
Magglio Ordonez,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,10000000
Maicer Izturis,Los Angeles Angels,Second Baseman,No,American,American West,No,No,No,3266666
Manny Parra,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,1200000
Manny Ramirez,Tampa Bay Rays,Designated Hitter,No,American,American East,No,Yes,No,2020000
Marc Rzepczynski,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,429600
Marco Scutaro,Boston Red Sox,Shortstop,No,American,American East,No,No,No,5500000
Marcos Mateo,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,417000
Marcus Thames,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,1000000
Mariano Rivera,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,14911700
Mark Buehrle,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,14000000
Mark De Rosa,San Francisco Giants,Third Baseman,No,National,National West,No,No,No,6000000
Mark Ellis,Oakland Athletics,Second Baseman,No,American,American West,No,No,No,6000000
Mark Kotsay,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,800000
Mark Lowe,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,1200000
Mark Melancon,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,421000
Mark Reynolds,Baltimore Orioles,Third Baseman,No,American,American East,No,No,No,5333333
Mark Teahen,Chicago White Sox,Third Baseman,No,American,American Central,No,No,No,4750000
Mark Teixeira,New York Yankees,First Baseman,No,American,American East,Yes,Yes,No,23125000
Mark Trumbo,Los Angeles Angels,First Baseman,No,American,American West,No,No,No,414000
Marlon Byrd,Chicago Cubs,Outfielder,No,National,National Central,No,No,No,5500000
Martin Prado,Atlanta Braves,Second Baseman,No,National,National East,No,No,No,3100000
Mason Tobin,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,414000
Mat Latos,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,460700
Matt Albers,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,875000
Matt Belisle,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,2350000
Matt Cain,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,7333333
Matt Capps,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,7150000
Matt Diaz,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,2125000
Matt Downs,Houston Astros,Second Baseman,No,National,National Central,No,No,No,421000
Matt E. Young,Atlanta Braves,Second Baseman,No,National,National East,No,No,No,414000
Matt Garza,Chicago Cubs,Pitcher,Yes,National,National Central,No,No,No,5950000
Matt Guerrier,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,2461499
Matt Harrison,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,428830
Matt Holliday,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,16317774
Matt Joyce,Tampa Bay Rays,Outfielder,No,American,American East,No,Yes,No,426500
Matt Kemp,Los Angeles Dodgers,Outfielder,No,National,National West,No,No,No,7100000
Matt LaPorta,Cleveland Indians,First Baseman,No,American,American Central,No,No,No,431400
Matt Lindstrom,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,2800000
Matt Maloney,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,415000
Matt Mangini,Seattle Mariners,Third Baseman,No,American,American West,No,No,No,414500
Matt Reynolds,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,415000
Matt Stairs,Washington Nationals,Outfielder,No,National,National East,No,No,No,850000
Matt Thornton,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,3000000
Matt Tolbert,Minnesota Twins,Second Baseman,No,American,American Central,No,No,No,425000
Matt Treanor,Kansas City Royals,Catcher,No,American,American Central,No,No,No,850000
Matt Wieters,Baltimore Orioles,Catcher,No,American,American East,No,No,No,452250
Mauricio Robles,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Max Scherzer,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,600000
Melky Cabrera,Kansas City Royals,Outfielder,No,American,American Central,No,No,No,1250000
Melvin Mora,Arizona Diamondbacks,Third Baseman,No,National,National West,No,Yes,No,2350000
Michael Bourn,Houston Astros,Outfielder,No,National,National Central,No,No,No,4400000
Michael Brantley,Cleveland Indians,Outfielder,No,American,American Central,No,No,No,421800
Michael Cuddyer,Minnesota Twins,Outfielder,No,American,American Central,No,No,No,10500000
Michael Dunn,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,414000
Michael Kohn,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,414000
Michael Martinez,Philadelphia Phillies,Second Baseman,No,National,National East,No,Yes,No,414000
Michael Pineda,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,414000
Michael Saunders,Seattle Mariners,Outfielder,No,American,American West,No,No,No,420000
Michael Wuertz,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,2800000
Michael Young,Texas Rangers,Infielder,No,American,American West,No,Yes,Yes,16174974
Miguel Batista,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,750000
Miguel Cabrera,Detroit Tigers,First Baseman,No,American,American Central,No,Yes,No,20000000
Miguel Cairo,Cincinnati Reds,Second Baseman,No,National,National Central,No,No,No,1000000
Miguel Montero,Arizona Diamondbacks,Catcher,No,National,National West,No,Yes,No,3200000
Miguel Olivo,Seattle Mariners,Catcher,No,American,American West,No,No,No,2500000
Miguel Tejada,San Francisco Giants,Third Baseman,No,National,National West,No,No,No,6500000
Mike Adams,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,2535000
Mike Aviles,Kansas City Royals,Third Baseman,No,American,American Central,No,No,No,640000
Mike Baxter,San Diego Padres,Outfielder,No,National,National West,No,No,No,414000
Mike Cameron,Boston Red Sox,Outfielder,No,American,American East,No,No,No,7750000
Mike Crotta,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,414000
Mike Fontenot,San Francisco Giants,Second Baseman,No,National,National West,No,No,No,1050000
Mike Gonzalez,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,6000000
Mike Leake,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,425000
Mike MacDougal,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,500000
Mike McCoy,Toronto Blue Jays,Second Baseman,No,American,American East,No,No,No,422300
Mike Morse,Washington Nationals,Outfielder,No,National,National East,No,No,No,1050000
Mike Napoli,Texas Rangers,Catcher,No,American,American West,No,Yes,Yes,5800000
Mike Nickeas,New York Mets,Catcher,No,National,National East,No,No,No,414000
Mike Pelfrey,New York Mets,Pitcher,Yes,National,National East,No,No,No,3925000
Mike Stanton,Miami Marlins,Outfielder,No,National,National East,No,No,No,416000
Milton Bradley,Seattle Mariners,Outfielder,No,American,American West,No,No,No,13000000
